date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:46	405648/405648	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Jan%202021%2009:07:43%20GMT	https://yahonoodles.wixsite.com/yaho/yaho	C:/Users/MrWu/Desktop/yahonoodles/yahonoodles/yahonoodles.wixsite.com/yaho/yaho.html	(from )
10:07:47	201/201	---M--	200	added ('OK')	text/plain	etag:W/%22c9-fPhna5f2Wf3Q8vo5B48mI7Y0z7w%22	https://yahonoodles.wixsite.com/robots.txt		(from )
10:07:48	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/MrWu/Desktop/yahonoodles/yahonoodles/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://yahonoodles.wixsite.com/yaho/yaho)
10:07:48	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/MrWu/Desktop/yahonoodles/yahonoodles/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://yahonoodles.wixsite.com/yaho/yaho)
10:07:49	37648/37648	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2020%20Jan%202021%2006:10:24%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/MrWu/Desktop/yahonoodles/yahonoodles/polyfill.io/v3/polyfill.mind82c.js	(from https://yahonoodles.wixsite.com/yaho/yaho)
10:07:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Jan%202021%2009:07:47%20GMT	https://yahonoodles.wixsite.com/yaho/decodeURIComponent(e	C:/Users/MrWu/Desktop/yahonoodles/yahonoodles/yahonoodles.wixsite.com/yaho/decodeURIComponent(e	(from https://yahonoodles.wixsite.com/yaho/yaho)
10:07:50	58325/58325	---M-Z	200	added ('OK')	application/javascript	etag:%2227315422580e3fc670b3db4a0f32598e%22	https://browser.sentry-cdn.com/5.21.4/bundle.min.js	C:/Users/MrWu/Desktop/yahonoodles/yahonoodles/browser.sentry-cdn.com/5.21.4/bundle.min.js	(from https://yahonoodles.wixsite.com/yaho/yaho)
10:07:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Jan%202021%2009:07:48%20GMT	https://yahonoodles.wixsite.com/yaho/https:	C:/Users/MrWu/Desktop/yahonoodles/yahonoodles/yahonoodles.wixsite.com/yaho/https_	(from https://yahonoodles.wixsite.com/yaho/yaho)
10:07:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2030%20Jan%202021%2009:07:49%20GMT	https://yahonoodles.wixsite.com/yaho/robots.txt	C:/Users/MrWu/Desktop/yahonoodles/yahonoodles/yahonoodles.wixsite.com/yaho/robots.txt	(from https://yahonoodles.wixsite.com/yaho/yaho)
10:07:51	263/263	---M--	200	added ('OK')	text/xml	etag:2881790403b0a5751fcb85db4fc28a58	https://yahonoodles.wixsite.com/yaho/sitemap.xml	C:/Users/MrWu/Desktop/yahonoodles/yahonoodles/yahonoodles.wixsite.com/yaho/sitemap.xml	(from https://yahonoodles.wixsite.com/yaho/yaho)
